weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
1963-11-27,The Marvelous Toy,The Chad Mitchell Trio,87,87,1,1,#,11,48,False
1963-12-04,The Marvelous Toy,The Chad Mitchell Trio,77,87,77,2,#,12,49,True
1963-12-11,Pretty Paper,Roy Orbison,60,60,1,1,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,12,50,True
1963-12-11,The Marvelous Toy,The Chad Mitchell Trio,73,77,73,3,#,12,50,True
1963-12-18,Pretty Paper,Roy Orbison,33,60,33,2,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,12,51,True
1963-12-18,The Marvelous Toy,The Chad Mitchell Trio,65,73,65,4,#,12,51,True
1963-12-25,Pretty Paper,Roy Orbison,19,33,19,3,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,12,52,True
1963-12-25,The Marvelous Toy,The Chad Mitchell Trio,56,65,56,5,#,12,52,True
1964-01-01,Pretty Paper,Roy Orbison,16,19,16,4,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,1,1,False
1964-01-01,The Marvelous Toy,The Chad Mitchell Trio,47,56,47,6,#,1,1,False
1964-01-08,Pretty Paper,Roy Orbison,15,16,15,5,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,1,2,False
1964-01-08,The Marvelous Toy,The Chad Mitchell Trio,46,47,46,7,#,1,2,False
1964-01-15,Pretty Paper,Roy Orbison,26,15,15,6,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,1,3,False
1964-01-15,The Marvelous Toy,The Chad Mitchell Trio,43,46,43,8,#,1,3,False
1964-01-22,Pretty Paper,Roy Orbison,43,26,15,7,https://charts-static.billboard.com/img/1963/12/roy-orbison-ro4-106x106.jpg,1,4,False
1964-01-22,The Marvelous Toy,The Chad Mitchell Trio,53,43,43,9,#,1,4,False
1964-11-18,Amen,The Impressions,96,96,1,1,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,11,47,False
1964-11-25,Amen,The Impressions,59,96,59,2,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,11,48,False
1964-12-02,Amen,The Impressions,43,59,43,3,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,12,49,True
1964-12-09,Amen,The Impressions,30,43,30,4,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,12,50,True
1964-12-16,Amen,The Impressions,24,30,24,5,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,12,51,True
1964-12-23,Amen,The Impressions,12,24,12,6,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,12,52,True
1964-12-30,Amen,The Impressions,8,12,8,7,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,12,53,True
1965-01-06,Amen,The Impressions,7,8,7,8,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,1,1,False
1965-01-13,Amen,The Impressions,11,7,7,9,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,1,2,False
1965-01-20,Amen,The Impressions,17,11,7,10,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,1,3,False
1965-01-27,Amen,The Impressions,43,17,7,11,https://charts-static.billboard.com/img/1964/11/the-impressions-lo6-180x180.jpg,1,4,False
1966-11-30,I'Ll Be Home,The Platters,99,99,1,1,https://charts-static.billboard.com/img/1966/12/the-platters-la1-180x180.jpg,11,48,False
1966-12-07,I'Ll Be Home,The Platters,97,99,97,2,https://charts-static.billboard.com/img/1966/12/the-platters-la1-180x180.jpg,12,49,True
